iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped
1,Lotsmart QA API_v1.24.0,search asset in dealer account_50,POST,https://qaapi.lojack.com/v1/assets/search?pg=1&pgsize=50 ,OK,200,3793,88047,"Status code is 200, Content-Type is present, Response has JSON body, Response time is less than 1400ms, Total number of vehicles",,
1,Lotsmart QA API_v1.24.0,search asset in dealer wo account_50,POST,https://qaapi.lojack.com/v1/assets/search?pg=1&pgsize=50 ,OK,200,5734,99169,"Status code is 200, Content-Type is present, Response has JSON body, Response time is less than 1400ms, Response time is less than 1400ms, Total number of vehicles",,
1,Lotsmart QA API_v1.24.0,search cvs in dealer account_50wosubacc,POST,https://qaapi.lojack.com/cvs,OK,200,2343,119599,"Status code is 200, Content-Type is present, Response has JSON body, Response time is less than 200ms",,
1,Lotsmart QA API_v1.24.0,search devices in dealer account_50wosubacc,POST,https://qaapi.lojack.com/v1/devices/search,OK,200,3608,105258,"Status code is 200, Content-Type is present, Response has JSON body, Response time is less than 1400ms, Total number of devices present",,
1,Lotsmart QA API_v1.24.0,search asset in dealer account_100,POST,https://qaapi.lojack.com/v1/assets/search?pg=1&pgsize=100,OK,200,2076,172639,"Status code is 200, Content-Type is present, Response has JSON body, Response time is less than 1400ms, Total number of vehicles",,
1,Lotsmart QA API_v1.24.0,search cvs in dealer account_100,POST,https://qaapi.lojack.com/cvs,OK,200,1760,244641,"Status code is 200, Content-Type is present, Response has JSON body, Response time is less than 12500ms",,
1,Lotsmart QA API_v1.24.0,search devices in dealer account_100,POST,https://qaapi.lojack.com/v1/devices/search,OK,200,3567,208525,"Status code is 200, Content-Type is present, Response has JSON body, Response time is less than 1400ms, Total number of devices present",,
1,Lotsmart QA API_v1.24.0,search asset in dealer wo subaccount_100,POST,https://qaapi.lojack.com/v1/assets/search?pg=1&pgsize=100,OK,200,3507,185550,"Status code is 200, Content-Type is present, Response has JSON body, Response time is less than 1400ms, Total number of vehicles",,
1,Lotsmart QA API_v1.24.0,search cvs in dealer account_100,POST,https://qaapi.lojack.com/cvs,OK,200,3219,229614,"Status code is 200, Content-Type is present, Response has JSON body, Response time is less than 12500ms",,
1,Lotsmart QA API_v1.24.0,search devices in dealer account_100,POST,https://qaapi.lojack.com/v1/devices/search,OK,200,4820,208924,"Status code is 200, Content-Type is present, Response has JSON body, Response time is less than 1400ms, Total number of devices present",,
1,Lotsmart QA API_v1.24.0,search asset in dealer account_500,POST,https://qaapi.lojack.com/v1/assets/search?pg=1&pgsize=500,OK,200,17654,897651,"Status code is 200, Content-Type is present, Response has JSON body, Total number of vehicles",Response time is less than 14000ms,
1,Lotsmart QA API_v1.24.0,search cvs in dealer account_500,POST,https://qaapi.lojack.com/cvs,OK,200,8560,1147240,"Status code is 200, Content-Type is present, Response has JSON body, Response time is less than 12500ms",,
1,Lotsmart QA API_v1.24.0,search devices in dealer account_500wsubacc,POST,https://qaapi.lojack.com/v1/devices/search,OK,200,5545,1038111,"Status code is 200, Content-Type is present, Response has JSON body, Response time is less than 1400ms, Total number of devices present in account",,
1,Lotsmart QA API_v1.24.0,search asset in dealer account_500 wosubacc,POST,https://qaapi.lojack.com/v1/assets/search?pg=1&pgsize=500,OK,200,5331,867625,"Status code is 200, Content-Type is present, Response has JSON body, Response time is less than 14000ms, Total number of vehicles",,
1,Lotsmart QA API_v1.24.0,search devices in dealer account_500,POST,https://qaapi.lojack.com/v1/devices/search,OK,200,6701,1038284,"Status code is 200, Content-Type is present, Response has JSON body, Response time is less than 1400ms, Total number of devices present",,Total number of devices present
1,Lotsmart QA API_v1.24.0,search cvs in dealer account_500,POST,https://qaapi.lojack.com/cvs,OK,200,12404,1127380,"Status code is 200, Content-Type is present, Response has JSON body, Response time is less than 12500ms",,
1,Lotsmart QA API_v1.24.0,search dealer deviceO,OPTIONS,https://qaapi.lojack.com/v1/devices/127426,OK,200,582,0,"Status code is 200, Content-Type is present, Check if target is undefined, Response time is less than 200ms, content type is present in response header",,
1,Lotsmart QA API_v1.24.0,search dealer device,GET,https://qaapi.lojack.com/v1/devices/127426,OK,200,3670,3263,"Status code is 200, Response has JSON body, Response time is less than 1400ms, content type is present in response header, Validation device-id properties, Deleted user  present in response body",,
1,Lotsmart QA API_v1.24.0,search suredrive device,GET,https://qaapi.lojack.com/v1/devices/116975,OK,200,3318,3586,"Status code is 200, Response has JSON body, Response time is less than 1400ms, content type is present in response header, customer user  present in response body, customer user aritime plan validation, Response has JSON body with results",Validation device-id properties,
1,Lotsmart QA API_v1.24.0,search dealer devices in bulk_5,POST,https://qaapi.lojack.com/v1/devices/search,OK,200,5520,11955,"Status code is 200, Response has JSON body, Response time is less than 1400ms, content type is present in response header, Validation device-id properties, Deleted user  present in response body, Response has JSON body with results, Number of users",,
1,Lotsmart QA API_v1.24.0,search dealer devices in bulk_5 Copy,POST,https://qaapi.lojack.com/v1/devices/search,OK,200,2623,11955,"Status code is 200, Response has JSON body, Response time is less than 1400ms, content type is present in response header, Validation device-id properties, Deleted user  present in response body, Response has JSON body with results, Number of users",,
1,Lotsmart QA API_v1.24.0,search devices search by ESN,OPTIONS,https://qaapi.lojack.com/v1/devices/search?pg=1&pgsize=10,OK,200,585,0,"Status code is 200, Response time is less than 1400ms, content type is present in response header",Response has JSON body,
1,Lotsmart QA API_v1.24.0,search devices search by ESN Copy,POST,https://qaapi.lojack.com/v1/devices/search?pg=1&pgsize=10,OK,200,2236,3581,"Status code is 200, Response has JSON body, Response time is less than 1400ms, content type is present in response header, Deleted user  present in response body, Response has JSON body with results","Validation device-id properties, Number of users",
1,Lotsmart QA API_v1.24.0,search devices search by ESN  search wo sub-acc,POST,https://qaapi.lojack.com/v1/devices/search?pg=1&pgsize=10,OK,200,1768,3576,"Status code is 200, Response has JSON body, Response time is less than 1400ms, content type is present in response header, Deleted user  present in response body, Response has JSON body with results","Validation device-id properties, Number of users",
1,Lotsmart QA API_v1.24.0,search devices search by ESN partial search wo sub-acc,POST,https://qaapi.lojack.com/v1/devices/search?pg=1&pgsize=10,OK,200,3179,22386,"Status code is 200, Response has JSON body, Response time is less than 15000ms, content type is present in response header, Validation device-id properties, Deleted user  present in response body, Response has JSON body with results, Number of users",,
1,Lotsmart QA API_v1.24.0,search dealer deviceidinvalid,GET,https://qaapi.lojack.com/v1/devices/44414,Not Found,404,1319,70,"Status code is 200, Response has JSON body, Response time is less than 15000ms, content type is present in response header",,
1,Lotsmart QA API_v1.24.0,Sub-acc LogInAcc Copy,GET,https://qaapi.lojack.com/v1/accounts/5407,OK,200,1756,5583,"Successful POST request, Response time is less than 18000ms",,
1,Lotsmart QA API_v1.24.0,reporting token search,GET,https://qaapi.lojack.com/v1/reporting/token/5407,OK,200,885,327,"Status code is 200, Response has JSON body, Did return token, Returned no errors, Returned pp token",,
1,Lotsmart QA API_v1.24.0,Sub-accsearch,GET,https://qaapi.lojack.com/v1/accounts/5407/subaccounts?v=2.1&hierLevel=10,OK,200,4159,258082,Status code is 200,,
1,Lotsmart QA API_v1.24.0,sub_account req,POST,https://qaapi.lojack.com/v1/accounts/search?pg=1&pgsize=25,OK,200,3642,151521,Status code is 200,,
1,Lotsmart QA API_v1.24.0,Sub-acc LogInAcc,GET,https://qaapi.lojack.com/v1/accounts/5407,OK,200,1925,5583,"Successful POST request, Response time is less than 18000ms",,
